,tickerName,shortName,sector,ask,previousClose,open,currency,trailingPE,forwardPE
391,REG,Regency Centers Corporation,Real Estate,0.0,48.27,48.06,USD,170.10829,38.30894
392,REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,0.0,538.15,543.0,USD,19.02221,14.228069
393,RF,Regions Financial Corporation,Financial Services,0.0,15.62,15.68,USD,19.481668,11.007143
394,RSG,"Republic Services, Inc.",Industrials,0.0,101.26,101.4,USD,31.331873,27.09485
395,RMD,ResMed Inc.,Healthcare,0.0,214.15,214.7,USD,45.303715,38.65751
396,RHI,Robert Half International Inc.,Industrials,0.0,65.53,65.57,USD,22.912725,21.0871
397,ROK,"Rockwell Automation, Inc.",Industrials,0.0,241.32,241.77,USD,27.993156,25.978836
398,ROL,"Rollins, Inc.",Consumer Cyclical,0.0,58.0,58.03,USD,75.942024,104.799995
399,ROP,"Roper Technologies, Inc.",Industrials,0.0,405.65,405.27,USD,27.544178,27.970547
400,ROST,"Ross Stores, Inc.",Consumer Cyclical,0.0,110.46,110.47,USD,72.88802,25.76389
401,RCL,D/B/A Royal Caribbean Cruises L,Consumer Cyclical,0.0,75.34,74.11,USD,0.0,-5.892687
402,SPGI,S&P Global Inc.,Financial Services,0.0,336.66,337.86,USD,33.72557,28.347095
403,CRM,Salesforce.com Inc,Technology,0.0,256.17,256.4,USD,99.25125,68.576004
404,SBAC,SBA Communications Corporation,Real Estate,0.0,298.315,296.9,USD,0.0,104.74386
405,SLB,Schlumberger N.V.,Energy,0.0,20.09,20.18,USD,0.0,24.06024
406,STX,Seagate Technology PLC,Technology,0.0,55.51,55.67,USD,14.10263,10.403013
407,SEE,Sealed Air Corporation,Consumer Cyclical,0.0,44.62,44.69,USD,14.817175,13.760124
408,SRE,Sempra Energy,Utilities,0.0,134.06,135.21,USD,10.223622,16.526707
409,NOW,"ServiceNow, Inc.",Technology,0.0,513.1,511.25,USD,145.97581,90.88172
410,SHW,Sherwin-Williams Company (The),Basic Materials,0.0,731.08,733.39,USD,35.75148,27.182943
411,SPG,"Simon Property Group, Inc.",Real Estate,0.0,78.96,77.87,USD,17.407408,15.021569
412,SWKS,"Skyworks Solutions, Inc.",Technology,0.0,140.28,141.11,USD,28.65833,16.01397
413,SLG,SL Green Realty Corp,Real Estate,0.0,60.26,60.53,USD,21.7815,-55.019234
414,SNA,Snap-On Incorporated,Industrials,0.0,172.58,173.26,USD,16.008417,14.836223
415,SO,Southern Company (The),Utilities,0.0,62.36,62.72,USD,20.676037,18.608435
416,LUV,Southwest Airlines Company,Industrials,0.0,45.66,46.82,USD,0.0,207.27272
417,SWK,"Stanley Black & Decker, Inc.",Industrials,0.0,184.53,185.58,USD,29.783419,19.417282
418,SBUX,Starbucks Corporation,Consumer Cyclical,0.0,98.6,98.63,USD,123.93671,29.85061
419,STT,State Street Corporation,Financial Services,0.0,70.56,70.52,USD,11.024701,10.692427
420,STE,STERIS plc (Ireland),Healthcare,192.26,195.21,195.21,USD,38.933064,28.690582
421,SYK,Stryker Corporation,Healthcare,0.0,231.44,231.37,USD,50.273315,25.580572
422,SIVB,SVB Financial Group,Financial Services,0.0,348.34,349.97,USD,16.937174,20.598696
423,SYF,Synchrony Financial,Financial Services,0.0,30.57,30.62,USD,13.50696,9.518987
424,SNPS,"Synopsys, Inc.",Technology,0.0,221.2,220.27,USD,54.020798,35.420456
425,SYY,Sysco Corporation,Consumer Defensive,0.0,74.23,74.12,USD,0.0,22.611986
426,TMUS,"T-Mobile US, Inc.",Communication Services,0.0,129.0,129.631,USD,44.055824,44.54704
427,TROW,"T. Rowe Price Group, Inc.",Financial Services,142.85,141.53,141.07,USD,15.72264,14.077541
428,TTWO,"Take-Two Interactive Software, ",Communication Services,0.0,162.2,161.88,USD,39.175556,28.34386
429,TPR,"Tapestry, Inc.",Consumer Cyclical,0.0,28.46,28.51,USD,0.0,10.803089
430,TGT,Target Corporation,Consumer Defensive,0.0,163.04,165.94,USD,24.114758,20.624228
431,TEL,TE Connectivity Ltd. New Switze,Technology,110.45,111.18,111.33,USD,0.0,18.477386
432,FTI,TechnipFMC plc,Energy,0.0,8.07,8.52,USD,0.0,11.661972
433,TDY,Teledyne Technologies Incorpora,Technology,392.84,394.17,395.61,USD,38.396038,34.801952
434,TFX,Teleflex Incorporated,Healthcare,370.94,375.5,375.18,USD,47.64093,29.101416
435,TER,"Teradyne, Inc.",Technology,0.0,105.91,105.98,USD,26.815042,21.657024
436,TXN,Texas Instruments Incorporated,Technology,0.0,155.5,155.74,USD,29.064926,26.474138
437,TXT,Textron Inc.,Industrials,0.0,45.6,46.0,USD,38.92555,17.04074
438,TMO,Thermo Fisher Scientific Inc,Healthcare,0.0,479.0,479.91,USD,37.246185,22.607267
439,TIF,Tiffany & Co.,Consumer Cyclical,0.0,131.46,131.46,USD,64.61879,31.885921
440,TJX,"TJX Companies, Inc. (The)",Consumer Cyclical,0.0,61.14,62.63,USD,106.46154,23.953846
441,TSCO,Tractor Supply Company,Consumer Cyclical,0.0,131.68,132.0,USD,19.959589,19.848532
442,TT,Trane Technologies plc,Industrials,0.0,148.79,148.55,USD,0.0,0.0
443,TDG,Transdigm Group Incorporated Tr,Industrials,0.0,577.97,589.9,USD,65.537346,35.867603
444,TRV,"The Travelers Companies, Inc.",Financial Services,0.0,135.04,135.44,USD,15.31282,12.870689
445,TFC,Truist Financial Corporation,Financial Services,0.0,48.17,48.33,USD,0.0,0.0
446,TWTR,"Twitter, Inc.",Communication Services,0.0,42.85,42.94,USD,0.0,49.23864
447,TYL,"Tyler Technologies, Inc.",Technology,410.64,413.67,413.18,USD,89.936226,69.547615
448,TSN,"Tyson Foods, Inc.",Consumer Defensive,0.0,63.78,63.93,USD,10.827645,10.007886
449,UDR,"UDR, Inc.",Real Estate,38.73,40.28,40.31,USD,87.17833,0.0
450,ULTA,"Ulta Beauty, Inc.",Consumer Cyclical,0.0,276.2,276.15,USD,55.35123,25.342884
451,USB,U.S. Bancorp,Financial Services,0.0,44.03,44.27,USD,14.315022,13.865385
452,UAA,"Under Armour, Inc.",Consumer Cyclical,0.0,16.1,16.34,USD,0.0,116.21429
453,UA,"Under Armour, Inc.",Consumer Cyclical,0.0,14.17,14.34,USD,0.0,95.799995
454,UNP,Union Pacific Corporation,Industrials,0.0,205.85,205.14,USD,25.991083,21.774813
455,UAL,"United Continental Holdings, In",Industrials,0.0,40.6,41.49,USD,0.0,-9.704492
456,UNH,UnitedHealth Group Incorporated,Healthcare,0.0,352.1,353.43,USD,19.78919,18.794872
457,UPS,"United Parcel Service, Inc.",Industrials,0.0,168.88,168.95,USD,31.951822,19.958532
458,URI,"United Rentals, Inc.",Industrials,0.0,214.62,216.0,USD,17.107033,13.114009
459,UHS,"Universal Health Services, Inc.",Healthcare,0.0,133.27,133.07,USD,13.004806,12.312905
460,UNM,Unum Group,Financial Services,0.0,21.4,21.5,USD,4.5863695,4.1074853
461,VFC,V.F. Corporation,Consumer Cyclical,0.0,85.11,85.26,USD,0.0,29.201365
462,VLO,Valero Energy Corporation,Energy,0.0,54.15,54.57,USD,0.0,5125.0
463,VAR,"Varian Medical Systems, Inc.",Healthcare,0.0,173.62,173.62,USD,58.93197,28.35679
464,VTR,"Ventas, Inc.",Real Estate,0.0,50.49,50.62,USD,53.211918,209.60869
465,VRSN,"VeriSign, Inc.",Technology,0.0,194.51,194.51,USD,28.023657,33.2637
466,VRSK,"Verisk Analytics, Inc.",Industrials,204.24,205.28,205.58,USD,50.608093,37.689465
467,VZ,Verizon Communications Inc.,Communication Services,0.0,60.75,61.13,USD,13.6470585,12.088177
468,VRTX,Vertex Pharmaceuticals Incorpor,Healthcare,0.0,222.96,222.71,USD,21.202469,18.87871
469,VIAC,ViacomCBS Inc.,Communication Services,0.0,32.29,32.5,USD,0.0,0.0
470,V,Visa Inc.,Financial Services,0.0,210.71,209.72,USD,42.501022,30.563234
471,VNT,Vontier Corporation,Technology,0.0,30.64,30.67,USD,0.0,0.0
472,VNO,Vornado Realty Trust,Real Estate,0.0,41.49,41.84,USD,142.10715,159.16
473,VMC,Vulcan Materials Company (Holdi,Basic Materials,0.0,140.54,141.1,USD,30.724415,28.2751
474,WRB,W.R. Berkley Corporation,Financial Services,0.0,70.11,70.33,USD,39.086784,20.818733
475,WAB,Westinghouse Air Brake Technolo,Industrials,0.0,71.39,71.69,USD,30.099459,16.620136
476,WMT,Walmart Inc.,Consumer Defensive,0.0,149.37,149.86,USD,23.785896,26.156141
477,WBA,"Walgreens Boots Alliance, Inc.",Healthcare,0.0,39.3875,39.9368,USD,73.66089,7.380309
478,DIS,Walt Disney Company (The),Communication Services,0.0,144.5,144.5,USD,0.0,29.60905
479,WM,"Waste Management, Inc.",Industrials,0.0,121.3,122.14,USD,34.038406,26.259258
480,WAT,Waters Corporation,Healthcare,0.0,231.19,230.69,USD,27.995266,24.3171
481,WEC,"WEC Energy Group, Inc.",Utilities,0.0,100.18,100.8,USD,25.393702,24.12718
482,WFC,Wells Fargo & Company,Financial Services,0.0,25.04,25.15,USD,65.77428,12.851281
483,WELL,Welltower Inc.,Real Estate,0.0,65.95,65.96,USD,25.603691,78.802475
484,WST,"West Pharmaceutical Services, I",Healthcare,281.87,286.79,286.03,USD,68.108955,54.939457
485,WDC,Western Digital Corporation,Technology,0.0,42.72,42.82,USD,0.0,7.05814
486,WU,Western Union Company (The),Financial Services,0.0,21.83,21.8,USD,12.771868,10.751245
487,WRK,Westrock Company,Consumer Cyclical,0.0,43.61,43.5,USD,0.0,12.689855
488,WY,Weyerhaeuser Company,Real Estate,0.0,29.18,29.13,USD,43.7386,27.673079
489,WHR,Whirlpool Corporation,Consumer Cyclical,0.0,191.07,191.86,USD,14.07743,10.246437
490,WMB,"Williams Companies, Inc. (The)",Energy,0.0,20.83,20.91,USD,112.35955,17.094017
491,WLTW,Willis Towers Watson Public Lim,Financial Services,205.97,210.13,210.68,USD,25.177479,17.0
492,WYNN,"Wynn Resorts, Limited",Consumer Cyclical,0.0,94.23,94.55,USD,0.0,-39.358025
493,XEL,Xcel Energy Inc.,Utilities,0.0,72.63,73.14,USD,25.0979,23.737373
494,XRX,Xerox Holdings Corporation,Technology,0.0,22.16,22.3,USD,5.155587,9.940909
495,XLNX,"Xilinx, Inc.",Technology,0.0,130.41,130.21,USD,52.72876,38.64671
496,XYL,Xylem Inc.,Industrials,95.05,95.95,96.03,USD,77.15679,36.114067
497,YUM,"Yum! Brands, Inc.",Consumer Cyclical,0.0,104.04,104.42,USD,30.246805,26.107769
498,ZBRA,Zebra Technologies Corporation,Technology,0.0,340.79,343.119,USD,38.53213,23.459345
499,ZBH,"Zimmer Biomet Holdings, Inc.",Healthcare,0.0,150.15,150.41,USD,0.0,18.570175
500,ZION,Zions Bancorporation N.A.,Financial Services,0.0,39.6,39.96,USD,16.465117,12.055727
501,ZTS,Zoetis Inc.,Healthcare,0.0,165.43,165.1,USD,47.118156,38.38028
